small_tuple,small_tuple_fre,link_to_larger_num,link_to_larger_fre_mean,link_to_larger_fre_var,small_tuple_fre_2
4_2513,0.2439024390243905,1,0.3373134328358214,0.0,0.05948839976204652
3_5704,0.16088980858768753,2,0.15596919127086029,0.00014872099940511623,0.025885530507382733
2_3124,0.06916627852817886,5,0.06952922917744439,0.00013452200715698728,0.004783974085437616
2_2667,0.05379599441080578,2,0.05794102431453696,1.7128379074580065e-05,0.0028940090146474464
2_3460,0.08872845831392641,6,0.07449560269011886,0.00040760189579040784,0.007872739314766177
3_5130,0.11950336264873228,3,0.1429182712879761,8.935161306210605e-05,0.01428105368435442
2_3511,0.09315323707498836,3,0.06570098292809101,1.837732338210148e-05,0.008677525577548986
3_4998,0.1127780651836523,3,0.13821138211382125,4.101385517604705e-05,0.012718891986568127
2_3160,0.07056357708430368,4,0.0598810139679255,2.012250002609443e-05,0.004979218410932467
3_5885,0.1903776513191928,6,0.16923406076166034,0.001013673909457151,0.036243650121812146
2_3721,0.11783884489986028,9,0.07277116744266257,0.0004885156448562639,0.013885993367333328
3_5962,0.21262286601138136,1,0.21566110397946087,0.0,0.04520848315089383
3_5918,0.1965856182100365,5,0.18562259306803605,0.005571541804195797,0.038645905287022234
3_5379,0.13243662700465594,1,0.2066752246469834,0.0,0.017539460172370364
4_2202,0.20795892169447994,2,0.3059701492537308,2.227667631988193e-06,0.04324691311233084
5_511,0.6179104477611941,2,0.5820895522388065,0.0035642682111828063,0.38181332145243935
2_4004,0.2296227293898463,11,0.07491887315994915,0.000262026156437144,0.05272659785244258
2_3625,0.10596180717279924,1,0.06518365235385404,0.0,0.011227904579325489
3_6229,0.5173305742369374,31,0.2361174375750549,0.015561809806466381,0.2676309230403194
3_6208,0.4319710294878427,4,0.18453145057766374,0.0029994471368941585,0.18659897031678668
2_3490,0.09152305542617606,1,0.0538023797206415,0.0,0.008376469674542895
3_6203,0.42783238489394737,22,0.2497374256039211,0.01091715162062478,0.18304054956404273
3_5464,0.1386445938954992,4,0.15917843388960207,0.0017426311010627215,0.019222323416447896
4_2480,0.23748395378690645,3,0.3562189054726368,0.0009286898839137645,0.05639862830626152
3_5504,0.14123124676668408,4,0.16431322207958932,0.0008667838857295339,0.019946265063272014
3_5517,0.1422659079151578,3,0.1835686777920412,0.003325418025479477,0.02023958855492416
2_2314,0.045877969259431765,1,0.05276771857216756,0.0,0.002104788063369366
3_5929,0.2017589239524056,7,0.2220795892169448,0.007352832125713336,0.04070666339443259
2_3327,0.07987890079180253,6,0.060182790136230374,5.162303137755458e-05,0.006380638791706631
